Category,Product,Month/Year,Projected Sales,Actual Sales,Actual Purchases
Electronics,Product_1,Jan/2022,1005,1279,1316
Electronics,Product_1,Jan/2022,1038,1336,1345
Electronics,Product_1,Mar/2022,1695,1803,1795
Electronics,Product_1,Apr/2022,949,790,820
Electronics,Product_1,May/2022,1510,1303,1396
Electronics,Product_1,May/2022,596,408,347
Electronics,Product_1,Jun/2022,1785,1648,1722
Electronics,Product_1,Jul/2022,1364,1129,1127
Electronics,Product_1,Aug/2022,1281,1460,1495
Electronics,Product_1,Sep/2022,1014,1280,1182
Electronics,Product_1,Oct/2022,1893,1710,1784
Electronics,Product_1,Nov/2022,1599,1572,1668
Electronics,Product_1,Dec/2022,1812,1860,1788
Electronics,Product_1,Jan/2023,1101,1246,1186
Electronics,Product_1,Feb/2023,1429,1132,1216
Electronics,Product_1,Mar/2023,1973,1942,1970
Electronics,Product_1,Apr/2023,865,1084,1011
Electronics,Product_1,May/2023,1780,1785,1848
Electronics,Product_1,Jun/2023,1539,1442,1381
Electronics,Product_1,Jul/2023,1265,1130,1168
Electronics,Product_1,Aug/2023,1586,1286,1339
Electronics,Product_1,Sep/2023,1163,1363,1267
Electronics,Product_1,Oct/2023,729,800,778
Electronics,Product_1,Nov/2023,990,749,710
Electronics,Product_2,Jan/2022,1661,1441,1362
Electronics,Product_2,Jan/2022,1998,2195,2112
Electronics,Product_2,Mar/2022,1590,1418,1350
Electronics,Product_2,Apr/2022,1851,2037,2077
Electronics,Product_2,May/2022,838,809,844
Electronics,Product_2,May/2022,1742,1875,1829
Electronics,Product_2,Jun/2022,1604,1509,1591
Electronics,Product_2,Jul/2022,1138,1246,1317
Electronics,Product_2,Aug/2022,1830,1912,1924
Electronics,Product_2,Sep/2022,1559,1721,1651
Electronics,Product_2,Oct/2022,1007,937,853
Electronics,Product_2,Nov/2022,1192,913,963
Electronics,Product_2,Dec/2022,1634,1569,1619
Electronics,Product_2,Jan/2023,951,658,576
Electronics,Product_2,Feb/2023,1949,1709,1667
Electronics,Product_2,Mar/2023,638,370,354
Electronics,Product_2,Apr/2023,645,871,831
Electronics,Product_2,May/2023,1070,1267,1221
Electronics,Product_2,Jun/2023,1604,1439,1524
Electronics,Product_2,Jul/2023,1669,1959,1980
Electronics,Product_2,Aug/2023,997,1181,1185
Electronics,Product_2,Sep/2023,889,685,609
Electronics,Product_2,Oct/2023,1849,1990,1980
Electronics,Product_2,Nov/2023,1367,1487,1506
Clothing,Product_3,Jan/2022,1993,1748,1820
Clothing,Product_3,Jan/2022,1838,1638,1553
Clothing,Product_3,Mar/2022,1324,1371,1298
Clothing,Product_3,Apr/2022,1009,905,853
Clothing,Product_3,May/2022,1598,1757,1692
Clothing,Product_3,May/2022,1364,1251,1222
Clothing,Product_3,Jun/2022,1447,1402,1321
Clothing,Product_3,Jul/2022,1407,1670,1595
Clothing,Product_3,Aug/2022,603,856,759
Clothing,Product_3,Sep/2022,691,633,575
Clothing,Product_3,Oct/2022,1332,1529,1552
Clothing,Product_3,Nov/2022,937,1047,962
Clothing,Product_3,Dec/2022,837,925,825
Clothing,Product_3,Jan/2023,1299,1270,1370
Clothing,Product_3,Feb/2023,1431,1423,1431
Clothing,Product_3,Mar/2023,1926,2195,2264
Clothing,Product_3,Apr/2023,1971,2169,2108
Clothing,Product_3,May/2023,888,891,846
Clothing,Product_3,Jun/2023,619,912,1000
Clothing,Product_3,Jul/2023,1610,1372,1463
Clothing,Product_3,Aug/2023,1142,900,812
Clothing,Product_3,Sep/2023,1696,1884,1912
Clothing,Product_3,Oct/2023,1587,1448,1362
Clothing,Product_3,Nov/2023,1540,1322,1269
Home & Kitchen,Product_4,Jan/2022,640,409,481
Home & Kitchen,Product_4,Jan/2022,981,1094,1024
Home & Kitchen,Product_4,Mar/2022,1666,1618,1666
Home & Kitchen,Product_4,Apr/2022,1717,1457,1515
Home & Kitchen,Product_4,May/2022,667,796,864
Home & Kitchen,Product_4,May/2022,1695,1973,2006
